skill_code	skill_name	skill_short_name	camp_code	disp_order
VILLAGER	村人	村	VILLAGER	1
SEER	占い師	占	VILLAGER	2
WISE	賢者	賢	VILLAGER	3
ASTROLOGER	占星術師	星	VILLAGER	4
MEDIUM	霊能者	霊	VILLAGER	5
GURU	導師	導	VILLAGER	6
HUNTER	狩人	狩	VILLAGER	7
MASON	共鳴者	共	VILLAGER	8
DETECTIVE	探偵	探	VILLAGER	9
TRAPPER	罠師	罠	VILLAGER	10
BAKERY	パン屋	パ	VILLAGER	11
WEREWOLF	人狼	狼	WEREWOLF	12
CURSEWOLF	呪狼	呪	WEREWOLF	13
WISEWOLF	智狼	智	WEREWOLF	14
MADMAN	狂人	狂	WEREWOLF	15
CMADMAN	C国狂人	C	WEREWOLF	16
EVILMEDIUM	魔神官	魔	WEREWOLF	17
FANATIC	狂信者	信	WEREWOLF	18
FOX	妖狐	狐	FOX	19
BOMBER	爆弾魔	爆	CRIMINAL	20
LEFTOVER	おまかせ	お	VILLAGER	21
VILLAGERS	おまかせ（村人陣営）	お	VILLAGER	22
WEREWOLFS	おまかせ（人狼陣営）	お	VILLAGER	23
NOVILLAGERS	おまかせ（人外）	お	VILLAGER	24
FOOTSTEPS	おまかせ（足音職）	お	VILLAGER	25
FRIENDS	おまかせ（役職窓あり）	お	VILLAGER	26
