MESSAGE_ID	VILLAGE_ID	VILLAGE_PLAYER_ID	TO_VILLAGE_PLAYER_ID	PLAYER_ID	DAY	MESSAGE_TYPE_CODE	MESSAGE_NUMBER	MESSAGE_CONTENT	MESSAGE_DATETIME	IS_CONVERT_DISABLE	FACE_TYPE_CODE
1	1				0	PUBLIC_SYSTEM	1	"昼間は人間のふりをして、夜に正体を現すという人狼。
その人狼が、この館に紛れ込んでいるという噂が広がった。

村人達は半信半疑ながらも、館の大広間に集められることになった。"	2018-03-11 03:40:44.000	0	
2	1	1			0	NORMAL_SAY	1	"後日全てのデータを消去する予定です
自由にユーザ登録、参加、村建てなどしてください。

なお、
・村建て時の選択で記名投票にしようが無記名にしようが記名投票になります
・役職希望も必ず有効になります
・フィルタ未実装です
・その他未実装がかなりあります"	2018-03-11 03:40:44.000	0	NORMAL
3	1				0	PRIVATE_SYSTEM	1	楽天家 ゲルトが希望役職を村人に設定しました。	2018-03-11 03:40:44.000	0	
4	1	2			0	NORMAL_SAY	2	"お疲れ様ですー
いろいろ動かして見まーす

プルダウンの表示文字が上半分しか見えなくて、下半分が隠れているのは　既知ですかね
　（プルダウンのpadding上下が原因？）"	2018-03-11 04:30:44.000	0	NORMAL
5	1				0	PRIVATE_SYSTEM	2	仕立て屋 エルナが希望役職を村人に設定しました。	2018-03-11 04:30:44.000	0	
6	1	3			0	NORMAL_SAY	3	"ネトストしてたら人狼館公開されてたぽよ。
見やすくてナイスぽよ。
特に問題はないけど、Androidから入村するとき、キャラクターと役職希望のプルダウン文字が下半分隠れてるぽよ。"	2018-03-11 09:16:34.000	0	NORMAL
7	1				0	PRIVATE_SYSTEM	3	村娘 パメラが希望役職を狂人に設定しました。	2018-03-11 09:16:34.000	0	
8	1	3			0	NORMAL_SAY	4	">>2服と同じ事を言ってたぽよ。
ついでにアンカーテストぽよ。"	2018-03-11 09:20:10.000	0	NORMAL
9	1	3			0	NORMAL_SAY	5	"アンカーで出て来た吹き出しはアンカー再クリックで畳めたけど、
右上の×印では消えなかったぽよ。"	2018-03-11 09:21:46.000	0	NORMAL
10	1	3			0	NORMAL_SAY	6	"色々開発中とのことだけど、
狂人の勝利条件は「村陣営の敗北」で、
狼か狐いずれかが勝てば勝ちでは？ぽよ。"	2018-03-11 09:27:02.000	0	NORMAL
11	1	1			0	NORMAL_SAY	7	"むむ、プルダウン上下幅デカスギィ！と思って縮めたんだけどAndroidだと隠れちゃうんですね
やっぱ泥端末欲しいなぁ..."	2018-03-11 09:45:14.000	0	NORMAL
12	1	1			0	NORMAL_SAY	8	"狐の勝利条件はこの前そうだったねー
狂人って普通だと狐入りでも人狼陣営だと思うんだけど、人狼館だと特殊なのかな"	2018-03-11 09:49:41.000	0	NORMAL
13	1	4			0	NORMAL_SAY	9	自分も参加しておこう	2018-03-11 10:00:46.000	0	NORMAL
14	1				0	PRIVATE_SYSTEM	4	神父 ジムゾンが希望役職を村人に設定しました。	2018-03-11 10:00:46.000	0	
